FID,LOCATIONID,NUMSPACES,x,y
439,BF21186,6,-122.618249225991,45.5364489524506
440,BF27365,8,-122.684269846887,45.5285391037499
441,BF21259,2,-122.660914510984,45.5308503856094
442,BF21508,0,-122.659085103586,45.5299635029626
443,BF29588,4,-122.685789737957,45.5286658439037
444,BF27366,48,-122.684285847679,45.5287531055417
445,BF21509,0,-122.658367586829,45.5299603105117
446,BF29596,0,-122.694205558882,45.528501515815
447,BF27387,2,-122.685333738746,45.5252215665575
448,BF21575,6,-122.626928494941,45.5413654836177
449,BF22321,4,-122.644267422619,45.5278534774419
450,BF22468,2,-122.661220126827,45.5641040022695
451,BF29598,0,-122.697914397263,45.5284335713803
452,BF27392,6,-122.685459072592,45.5287598977476
453,BF2249,0,-122.671198292304,45.5629049750249
454,BF29631,0,-122.680933660228,45.5293595607771
455,BF27393,6,-122.685459135475,45.529487531896
456,BF22626,8,-122.666690469852,45.5626586928628
457,BF29634,6,-122.685847239118,45.5292529777401
458,BF27397,2,-122.68560541444,45.5327653848699
459,BF22889,0,-122.66137972691,45.5421744600098
460,BF22916,0,-122.630883046807,45.5421067504138
461,BF22940,4,-122.663154977575,45.5418370896489
462,BF29641,2,-122.691760464155,45.5291372556389
463,BF27405,2,-122.685158341788,45.5256457290984
464,BF22941,2,-122.660768655125,45.5420408640629
465,BF22969,0,-122.630854655552,45.5419463794279
466,BF23023,12,-122.619192710364,45.5295714047011
467,BF27408,4,-122.68524744658,45.5274910512343
468,BF29644,0,-122.698448154645,45.5290237509982
469,BF2305,54,-122.684918035263,45.558010598728
470,BF2306,6,-122.684947333816,45.5585661852663
471,BF27409,4,-122.685272694629,45.5281905006181
472,BF29645,2,-122.698742330443,45.5290178971297
473,BF2311,18,-122.684873883067,45.5625349092313
474,BF27410,2,-122.68529710455,45.5290626167176
475,BF29652,0,-122.684017749974,45.5294036627417
476,BF23179,4,-122.663666905895,45.5589839027736
477,BF23288,0,-122.661793124417,45.5306342421259
478,BF27411,4,-122.685253483258,45.5296602488968
479,BF29653,0,-122.684561950271,45.5293917209802
480,BF23289,0,-122.66179190181,45.531868807512
481,BF27415,10,-122.685433088823,45.5325755976761
482,BF29654,8,-122.685737356294,45.5293702206429
483,BF23296,0,-122.661767455058,45.5366880743595
484,BF23297,0,-122.661754058482,45.5375769701694
485,BF27416,4,-122.685455688639,45.5332404755426
486,BF23299,0,-122.661736129906,45.5395989747401
487,BF29661,8,-122.691186044531,45.5292790695681
488,BF23300,0,-122.661730802896,45.5401977061454
489,BF27452,4,-122.686173860267,45.5253247335465
490,BF24855,0,-122.661362239406,45.539614759341
491,BF29665,4,-122.698731264097,45.5291283150084
492,BF23301,0,-122.661723162725,45.5412534727817
493,BF24901,0,-122.609707037258,45.5399798934807
494,BF27453,2,-122.686194330178,45.525838307551
495,BF24920,32,-122.545157741813,45.5393055698691
496,BF23303,4,-122.661714993445,45.5432975662061
497,BF29666,0,-122.700741532904,45.5290938217949
498,BF25,2,-122.670520128045,45.5232510291068
499,BF23307,0,-122.661725433666,45.5457638691708
500,BF27461,2,-122.686460009618,45.5327689050118
501,BF25029,4,-122.64878491813,45.524804348954
502,BF23309,4,-122.66171584415,45.5471281987934
503,BF29835,0,-122.680843905955,45.5300303776244
504,BF27479,12,-122.687530572366,45.530575535809
505,BF25032,0,-122.646067266461,45.5258029010227
506,BF23311,2,-122.661704599938,45.5487252335491
507,BF23313,0,-122.661684192909,45.5516274166259
508,BF25043,2,-122.636805833511,45.5293966541313
509,BF25044,2,-122.634743153397,45.5302094029456
510,BF29836,0,-122.681849897801,45.5300118100777
511,BF27491,0,-122.687119766499,45.5232522507284
512,BF23320,2,-122.661584665864,45.5615207560851
513,BF25046,4,-122.630421950554,45.5318886544027
514,BF25048,4,-122.627366036468,45.5331455305982
515,BF23322,0,-122.661562129829,45.5635629861112
516,BF27515,6,-122.688411776541,45.5260437926069
517,BF25055,0,-122.622084561537,45.5352854265964
518,BF23357,4,-122.661591134632,45.5249697225085
519,BF27541,8,-122.688243964059,45.5262750107785
520,BF25056,0,-122.621250747087,45.5356316632338
521,BF23361,4,-122.661579366702,45.526857065647
522,BF25057,0,-122.620379416295,45.5359949273542
523,BF29837,0,-122.682722889577,45.5300015581211
524,BF27542,6,-122.688258470055,45.5267000288292
525,BF23363,0,-122.661579357719,45.5284003993124
526,BF25059,2,-122.6186628355,45.5367874279727
527,BF29838,0,-122.68405357838,45.5299987948563
528,BF23374,6,-122.661517205979,45.5362465710251
529,BF25060,0,-122.61736103472,45.5373750269651
530,BF29839,0,-122.684906128094,45.5299646457756
531,BF23378,0,-122.661486601276,45.5389335006911
532,BF25068,0,-122.611336483267,45.5397547618314
533,BF29844,0,-122.688171266997,45.5299233987684
534,BF27546,0,-122.688377386337,45.5297932493606
535,BF23379,4,-122.661481686593,45.5399416770801
536,BF25070,8,-122.608642653122,45.5407140549462
537,BF29847,8,-122.69110082675,45.5298649742668
538,BF23380,2,-122.661458003409,45.5411112196798
539,BF25084,2,-122.593730980529,45.5465589605823
540,BF29848,4,-122.693505128082,45.5298184750158
